metric_id,category,subcategory,metric_name,extension,importance
1,System,Basic,CPU,,high
2,System,Basic,LA,,high
3,System,Basic,Memory usage,,medium
4,System,Basic,Memory errors,,medium
5,System,Basic,Swap usage,,unspecified
6,System,Basic,Swap I/O,,high
7,System,Disk,Read and write latency,,high
8,System,Disk,IOPS (read and write),,medium
9,System,Disk,Throughput (read and write),,medium
10,System,Disk,% util / io usage,,unspecified
11,System,Disk,Disk space,,high
12,System,Disk,Page cache hit/miss,,high
13,System,Network,Bandwidth,,medium
14,System,Network,"Errors, dropped packets",,medium
15,System,Network,Packets/second,,unspecified
16,System,Network,Connections (in / out; per status / per IP),,unspecified
17,System,Process analysis,Top-N by CPU load,,unspecified
18,System,Process analysis,Top-N by RAM load,,unspecified
19,System,Process analysis,Top-N by disk reads (IOPS and throughput),,unspecified
20,System,Process analysis,Top-N by disk writes (IOPS and throughput),,unspecified
21,System,Process analysis,Top-N by swap (amount + rates),,unspecified
22,System,Process analysis,Top-N by process count and by threads count,,unspecified
23,System,Process analysis,Top-N by open files,,unspecified
24,Postgresql,Main,Average query time,,high
25,Postgresql,Main,Connections (by state in pg_stat_activity),,high
26,Postgresql,Main,Top-N transactions by age,,unspecified
27,Postgresql,Main,Total query time (by query group from pg_stat_statements),,medium
28,Postgresql,Main,Buffers hits and reads (by query group from pg_stat_statements),,unspecified
29,Postgresql,Main,"Buffers written, dirtied (by query group from pg_stat_statements)",,unspecified
30,Postgresql,Main,Transactions (committed vs rolled back),,high
31,Postgresql,Main,Replication lags,,high
32,Postgresql,Autovacuum,Workers (by mode: main vs tx ID wraparound),,unspecified
33,Postgresql,Autovacuum,Top-N tables (and DBs) by autovacuum pending work,,unspecified
34,Postgresql,Autovacuum,"TXs left (tx ID wraparound), database transaction age",,unspecified
35,Postgresql,Autovacuum,Autovacuum queue and progress https://gitlab.com/snippets/1889668,,medium
36,Postgresql,Bloat (estimated),Table bloat (estimated),,unspecified
37,Postgresql,Bloat (estimated),Index bloat (estimated),,unspecified
38,Postgresql,"Checkpoints, bgwriter",Disk writes (by processes),,unspecified
39,Postgresql,"Checkpoints, bgwriter",Pages dirtied by queries,,unspecified
40,Postgresql,"Checkpoints, bgwriter",Checkpoints issued,,medium
41,Postgresql,Connections,# of connections by state + max_connections,,medium
42,Postgresql,Connections,Connections by client address (active + all),,medium
43,Postgresql,Connections,Connections by app (active + all),,medium
44,Postgresql,Connections,Connections by DB role,,medium
45,Postgresql,Connections,Idle in transaction connections,,high
46,Postgresql,"Locks, waits",Total number of locks acquired,,unspecified
47,Postgresql,"Locks, waits",Locks by time,,unspecified
48,Postgresql,"Locks, waits",Queries blocked longer than X seconds,,medium
49,Postgresql,"Locks, waits",Deadlocks,,medium
50,Postgresql,"Locks, waits",Types of waits,,unspecified
51,Postgresql,Replication Destination (follower),Replication lag in bytes (for followers of the current node),,high
52,Postgresql,Replication Destination (follower),Replication lag in bytes (for the current node compared to the leader),,high
53,Postgresql,Replication Destination (follower),Replication lag in seconds (for the current node compared to the leader),,high
54,Postgresql,Replication Origin (primary or replica with cascaded replication),,,unspecified
55,Postgresql,Replication Origin (primary or replica with cascaded replication),Unused replication slots / replication statuses,,high
