metric_id,metric_name,description
1,'Bgwriter','Statistics about the background writer process's activity'
2,'Bgwriter: Checkpoint write time',"'Total amount of time that has been spent in the portion of checkpoint processing where files are written to disk, in milliseconds'"
3,'Bgwriter: Buffers backend fsync','Number of times a backend had to execute its own fsync call (normally the background writer handles those even when the backend does its own write)'
4,'Bgwriter: Checkpoint sync time','Total amount of time that has been spent in the portion of checkpoint processing where files are synchronized to disk'
5,'Bgwriter: Requested checkpoints','Number of requested checkpoints that have been performed'
6,'Bgwriter: Max written','Number of times the background writer stopped a cleaning scan because it had written too many buffers'
7,'Bgwriter: Scheduled checkpoints','Number of scheduled checkpoints that have been performed'
8,'Bgwriter: Buffers written during checkpoints','Number of buffers written during checkpoints'
9,'Bgwriter: Buffers written directly by a backend','Number of buffers written directly by a backend'
10,'Bgwriter: Buffers written by the background writer','Number of buffers written by the background writer'
11,'Bgwriter: Buffers allocated','Number of buffers allocated'
12,'Status: Version',''
13,'Status: Ping',''
14,'Status: Ping time',''
15,'Status: Uptime',''
16,'Status: Cache hit ratio %','Cache hit ratio'
17,'Status: DB {#DBNAME}: Size','Database size'
18,'Connections sum','Collect all metrics from pg_stat_activity https://www.postgresql.org/docs/current/monitoring-stats.html#PG-STAT-ACTIVITY-VIEW'
19,'Connections sum: Total %','Total number of connections in percentage'
20,'Connections sum: Total','Total number of connections'
21,'Connections sum: Waiting','Total number of waiting connections https://www.postgresql.org/docs/current/monitoring-stats.html#WAIT-EVENT-TABLE'
22,'Connections sum: Idle in transaction',"'Total number of connections in a transaction state, but not executing a query'"
23,'Connections sum: Idle','Total number of connections waiting for a new client command'
24,'Connections sum: Active','Total number of connections executing a query'
25,'Connections sum: Prepared','Total number of prepared transactions https://www.postgresql.org/docs/current/sql-prepare-transaction.html'
26,'Dbstat','Collect all metrics from pg_stat_database per database https://www.postgresql.org/docs/current/monitoring-stats.html#PG-STAT-DATABASE-VIEW'
27,'DB {#DBNAME}: Commits per second','Number of transactions in this database that have been committed'
28,'DB {#DBNAME}: Tuples updated per second','Total number of rows updated by queries in this database'
29,'DB {#DBNAME}: Tuples returned per second','Total number of rows updated by queries in this database'
30,'DB {#DBNAME}: Tuples inserted per second','Total number of rows inserted by queries in this database'
31,'DB {#DBNAME}: Tuples fetched per second','Total number of rows fetched by queries in this database'
32,'DB {#DBNAME}: Tuples deleted per second','Total number of rows deleted by queries in this database'
33,'DB {#DBNAME}: Temp_files created per second','Total number of temporary files created by queries in this database'
34,'DB {#DBNAME}: Temp_bytes written per second','Total amount of data written to temporary files by queries in this database'
35,'DB {#DBNAME}: Rollbacks per second','Total number of transactions in this database that have been rolled back'
36,'DB {#DBNAME}: Detected deadlocks per second','Total number of detected deadlocks in this database'
37,'DB {#DBNAME}: Detected conflicts per second','Total number of queries canceled due to conflicts with recovery in this database'
38,'DB {#DBNAME}: Disk blocks read per second','Total number of disk blocks read in this database'
39,'DB {#DBNAME}: Blocks hit per second',"'Total number of times disk blocks were found already in the buffer cache, so that a read was not necessary'"
40,'Replication: standby count','Number of standby servers'
41,'Replication: recovery role',"'Replication role: 1 — recovery is still in progress (standby mode), 0 — master mode.'"
